Size,Parallel Time,Sequential Time
3320,0.102902,0.148186
3330,0.108359,0.160854
3340,0.102665,0.147730
3350,0.112438,0.167136
3360,0.119031,0.154629
3370,0.123506,0.152952
3380,0.110251,0.146490
3390,0.136497,0.147370
3400,0.118340,0.186431
3410,0.117284,0.161339
3420,0.141736,0.177065
3430,0.122213,0.177695
3440,0.125550,0.157697
3450,0.138261,0.172535
3460,0.126705,0.167563
3470,0.152508,0.310203
3480,0.346428,0.329700
3490,0.329983,0.182067
3500,0.129405,0.174949
3510,0.143477,0.193267
3520,0.134072,0.179508
3530,0.147865,0.188253
3540,0.137176,0.187912
3550,0.122621,0.163059
3560,0.134886,0.168443
3570,0.212740,0.488573
3580,0.163222,0.246557
3590,0.173486,0.202347
3600,0.135411,0.184348
3610,0.208317,0.500180
3620,0.346529,0.279060
3630,0.163299,0.409023
3640,0.603490,0.239666
3650,0.152881,0.192956
3660,0.150402,0.222154
3670,0.128166,0.177991
3680,0.145672,0.177021
3690,0.133385,0.265473
3700,0.177268,0.206041
3710,0.136101,0.202021
3720,0.143770,0.236267
3730,0.129824,0.236647
3740,0.144775,0.207558
3750,0.150785,0.213675
3760,0.179324,0.208191
3770,0.146572,0.242974
3780,0.324061,0.333483
3790,0.136272,0.190543
3800,0.145310,0.205178
3810,0.182944,0.206508
3820,0.174480,0.201854
3830,0.136605,0.202892
3840,0.136854,0.196257
3850,0.186892,0.233816
3860,0.145034,0.206513
3870,0.158274,0.210857
3880,0.158949,0.204160
3890,0.156848,0.203753
3900,0.146308,0.220510
3910,0.164565,0.215313
3920,0.151435,0.216063
3930,0.169891,0.207026
3940,0.141868,0.219023
3950,0.142822,0.210440
3960,0.175990,0.208895
3970,0.161627,0.208565
3980,0.166093,0.221671
3990,0.242576,0.246901
4000,0.151410,0.207744
4010,0.162910,0.211234
4020,0.159609,0.274763
4030,0.149437,0.226765
4040,0.174715,0.235721
4050,0.178816,0.452939
4060,0.489538,0.271619
4070,0.182407,0.219971
4080,0.182437,0.232924
4090,0.334069,0.256037
4100,0.188563,0.233710
4110,0.158502,0.237876
4120,0.200844,0.250190
4130,0.177452,0.492758
4140,0.531589,0.273215
4150,0.185493,0.270033
4160,0.163943,0.259432
4170,0.190077,0.251813
4180,0.186575,0.247690
4190,0.204833,0.253562
4200,0.173775,0.243732
4210,0.163336,0.249098
4220,0.171526,0.245902
4230,0.168797,0.260424
4240,0.173994,0.237508
4250,0.192247,0.257140
4260,0.554085,0.647376
4270,0.217251,0.246964
4280,0.198248,0.254998
4290,0.195168,0.246866
4300,0.176548,0.253431
4310,0.181820,0.286389
4320,0.210342,0.275284
4330,0.272552,0.646687
4340,0.426775,0.308248
4350,0.196850,0.271609
4360,0.235173,0.257651
4370,0.218126,0.285356
4380,0.397731,0.603807
4390,0.234748,0.261731
4400,0.209125,0.279980
4410,0.229533,0.267644
4420,0.179801,0.266699
4430,0.189374,0.287297
4440,0.219164,0.351531
4450,0.250362,0.283529
4460,0.196891,0.255881
4470,0.200694,0.256624
4480,0.266265,0.270924
4490,0.466492,0.798959
4500,0.231406,0.298280
4510,0.242122,0.276655
4520,0.259033,0.275799
4530,0.220236,0.273734
4540,0.206836,0.277580
4550,0.227788,0.282145
4560,0.237682,0.273457
4570,0.249714,0.322594
4580,0.423846,0.313003
4590,0.210991,0.307199
4600,0.199868,0.332421
4610,0.257679,0.299169
4620,0.244183,0.292425
4630,0.249766,0.280065
4640,0.223808,0.362290
4650,0.208934,0.320929
4660,0.252293,0.308611
4670,0.221531,0.299177
4680,0.227313,0.302588
4690,0.209872,0.322836
4700,0.251778,0.302418
4710,0.289507,0.673207
4720,0.464234,0.316440
4730,0.246473,0.326317
4740,0.240795,0.332965
4750,0.252585,0.319725
4760,0.243605,0.317700
4770,0.298406,0.669756
4780,0.271392,0.324098
4790,0.213682,0.320621
4800,0.249451,0.424046
4810,0.691790,0.385061
4820,0.563891,0.350148
4830,0.216816,0.348995
4840,0.247739,0.345734
4850,0.228411,0.336779
4860,0.223520,0.322672
4870,0.228894,0.370732
4880,0.359203,0.414458
4890,0.245007,0.358838
4900,0.256693,0.357773
4910,0.252413,0.379257
4920,0.252023,0.324974
4930,0.247546,0.327750
4940,0.250366,0.331340
4950,0.239054,0.348319
4960,0.231432,0.346268
4970,0.232770,0.345406
4980,0.229225,0.363295
4990,0.258829,0.330101
